sample number,sample code,strain,substrate,wet weight,dry weight,strain abbr,substrate abbr,,strain substrate
6,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.1,3.4,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
7,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.9,3.7,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
8,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.3,3.9,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
9,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.9,3.8,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
10,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.5,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
11,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.5,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
12,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.1,3.8,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
13,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.3,3.9,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
14,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.8,3.8,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
15,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.2,3.5,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
16,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.9,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
17,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8,3.7,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
18,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.8,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
19,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.4,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
20,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.4,3.9,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
21,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.4,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
22,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8,3.7,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
23,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.4,3.4,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
24,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.7,3.6,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
25,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.4,3.9,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
26,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.4,3.9,Ganoderma spp.,Wood Pellet + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellet + CaSO4 + Flax
