sample number,sample code,strain,substrate,wet weight,dry weight,strain substrate
29,GL,Ganoderma lucidum,wood lovrs,3.67,1.7,"Ganoderma lucidum, wood lovrs"
30,GL,Ganoderma lucidum,wood lovrs,4.22,1.95,"Ganoderma lucidum, wood lovrs"
31,GL,Ganoderma lucidum,wood lovrs,3.77,1.91,"Ganoderma lucidum, wood lovrs"
32,GL,Ganoderma lucidum,wood lovrs,4.57,1.98,"Ganoderma lucidum, wood lovrs"
33,GL,Ganoderma lucidum,wood lovrs,7.35,1.93,"Ganoderma lucidum, wood lovrs"
34,GL,Ganoderma lucidum,wood lovrs,6.71,2.35,"Ganoderma lucidum, wood lovrs"
35,GL,Ganoderma lucidum,wood lovrs,4.58,1.88,"Ganoderma lucidum, wood lovrs"
36,GL,Ganoderma lucidum,wood lovrs,4.71,2.22,"Ganoderma lucidum, wood lovrs"
1,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.9,"Ganoderma spp., hardwood pellets flax calcium sulfate"
2,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8,3.7,"Ganoderma spp., hardwood pellets flax calcium sulfate"
3,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.3,3.9,"Ganoderma spp., hardwood pellets flax calcium sulfate"
4,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,6.9,3.3,"Ganoderma spp., hardwood pellets flax calcium sulfate"
5,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.5,3.6,"Ganoderma spp., hardwood pellets flax calcium sulfate"
6,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.1,3.4,"Ganoderma spp., hardwood pellets flax calcium sulfate"
7,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.9,3.7,"Ganoderma spp., hardwood pellets flax calcium sulfate"
8,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.3,3.9,"Ganoderma spp., hardwood pellets flax calcium sulfate"
9,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.9,3.8,"Ganoderma spp., hardwood pellets flax calcium sulfate"
10,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.5,"Ganoderma spp., hardwood pellets flax calcium sulfate"
11,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.5,"Ganoderma spp., hardwood pellets flax calcium sulfate"
12,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.1,3.8,"Ganoderma spp., hardwood pellets flax calcium sulfate"
13,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.3,3.9,"Ganoderma spp., hardwood pellets flax calcium sulfate"
