sample number,sample code,strain,substrate,wet weight,dry weight,strain abbr,substrate abbr,,strain substrate
29,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.6,3,G. lucidum,Wood Pellets + CaSO4 + Flax, | ,G. lucidum | Wood Pellets + CaSO4 + Flax
30,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,7.4,3.3,G. lucidum,Wood Pellets + CaSO4 + Flax, | ,G. lucidum | Wood Pellets + CaSO4 + Flax
31,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.5,2.9,G. lucidum,Wood Pellets + CaSO4 + Flax, | ,G. lucidum | Wood Pellets + CaSO4 + Flax
32,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.6,2.9,G. lucidum,Wood Pellets + CaSO4 + Flax, | ,G. lucidum | Wood Pellets + CaSO4 + Flax
33,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.8,3.1,G. lucidum,Wood Pellets + CaSO4 + Flax, | ,G. lucidum | Wood Pellets + CaSO4 + Flax
34,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.2,2.8,G. lucidum,Wood Pellets + CaSO4 + Flax, | ,G. lucidum | Wood Pellets + CaSO4 + Flax
35,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.9,3.1,G. lucidum,Wood Pellets + CaSO4 + Flax, | ,G. lucidum | Wood Pellets + CaSO4 + Flax
36,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.8,3.1,G. lucidum,Wood Pellets + CaSO4 + Flax, | ,G. lucidum | Wood Pellets + CaSO4 + Flax
37,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,6.4,2.9,G. lucidum,Wood Pellets + CaSO4 + Flax, | ,G. lucidum | Wood Pellets + CaSO4 + Flax
38,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,7.3,3.3,G. lucidum,Wood Pellets + CaSO4 + Flax, | ,G. lucidum | Wood Pellets + CaSO4 + Flax
39,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,4.5,2.1,G. lucidum,Wood Pellets + CaSO4 + Flax, | ,G. lucidum | Wood Pellets + CaSO4 + Flax
40,GL_f,Ganoderma lucidum,hardwood pellets flax calcium sulfate,3.3,1.5,G. lucidum,Wood Pellets + CaSO4 + Flax, | ,G. lucidum | Wood Pellets + CaSO4 + Flax
1,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.9,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
2,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8,3.7,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
3,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.3,3.9,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
4,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,6.9,3.3,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
5,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.5,3.6,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
6,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.1,3.4,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
7,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.9,3.7,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
8,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.3,3.9,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
9,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.9,3.8,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
10,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.5,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
11,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.5,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
12,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.1,3.8,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
13,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.3,3.9,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
14,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.8,3.8,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
15,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.2,3.5,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
16,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.9,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
17,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8,3.7,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
18,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.8,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
19,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.4,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
20,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.4,3.9,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
21,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.4,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
22,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8,3.7,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
23,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.4,3.4,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
24,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.7,3.6,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
25,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.4,3.9,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
26,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.4,3.9,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
27,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.6,3.9,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
28,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.7,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
29,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.9,3.6,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
30,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,9.2,4.2,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
31,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7,3.3,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
32,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,6.9,3.3,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
33,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.6,3.9,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
34,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,9.3,4.3,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
35,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.7,3.9,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
36,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,9,4.1,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
37,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.5,3.5,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
38,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,8.2,3.8,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
39,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.5,3.5,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
40,E_f,Ganoderma spp.,hardwood pellets flax calcium sulfate,7.3,3.5,Ganoderma spp.,Wood Pellets + CaSO4 + Flax, | ,Ganoderma spp. | Wood Pellets + CaSO4 + Flax
1,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.5,3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
2,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.8,3.1,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
3,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
4,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.2,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
5,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6,2.7,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
6,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
7,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.8,3.7,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
8,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.3,3.4,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
9,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7,3.2,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
10,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.5,3.5,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
11,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.9,3.5,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
12,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,8.2,4.3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
13,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,4,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
14,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.3,3.3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
15,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
16,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.9,3.6,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
17,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,8.5,4.3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
18,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,4.3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
19,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,3.4,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
20,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.8,3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
21,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.7,3.5,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
22,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7,3.3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
23,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7,3.2,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
24,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7,3.2,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
25,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.6,3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
26,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
27,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,3.3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
28,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.1,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
29,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6,2.7,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
30,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.8,3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
31,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.4,3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
32,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.5,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
33,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.2,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
34,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.2,3.3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
35,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.8,3.6,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
36,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.3,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
37,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.1,2.8,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
38,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,6.6,3.1,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
39,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.4,3.4,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
40,O_f,Pleurotus ostreatus,hardwood pellets flax calcium sulfate,7.1,3.4,P. ostreatus,Wood Pellets + CaSO4 + Flax, | ,P. ostreatus | Wood Pellets + CaSO4 + Flax
1,G,Ganoderma spp.,kenaf,5.56,1.13,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
2,G,Ganoderma spp.,kenaf,4.81,1.15,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
3,G,Ganoderma spp.,kenaf,5.37,1.18,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
4,G,Ganoderma spp.,kenaf,4.95,1.12,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
5,G,Ganoderma spp.,kenaf,5.6,1.07,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
6,G,Ganoderma spp.,kenaf,5.68,1.14,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
7,G,Ganoderma spp.,kenaf,4.68,1.04,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
8,G,Ganoderma spp.,kenaf,5.23,1.08,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
9,G,Ganoderma spp.,kenaf,5.71,1.06,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
10,G,Ganoderma spp.,kenaf,6.82,1.35,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
11,G,Ganoderma spp.,kenaf,4.65,1.11,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
12,G,Ganoderma spp.,kenaf,5.23,1.2,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
13,G,Ganoderma spp.,kenaf,5.48,1.12,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
14,G,Ganoderma spp.,kenaf,5.46,1.12,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
15,G,Ganoderma spp.,kenaf,5.78,1.08,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
16,G,Ganoderma spp.,kenaf,5.43,1.17,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
17,G,Ganoderma spp.,kenaf,3.94,1.02,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
18,G,Ganoderma spp.,kenaf,4.75,1.13,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
19,G,Ganoderma spp.,kenaf,3.9,1.08,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
20,G,Ganoderma spp.,kenaf,5.09,1.04,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
21,G,Ganoderma spp.,kenaf,5.71,1.19,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
22,G,Ganoderma spp.,kenaf,5.36,1.02,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
23,G,Ganoderma spp.,kenaf,3.86,1.06,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
24,G,Ganoderma spp.,kenaf,3.88,1.06,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
25,G,Ganoderma spp.,kenaf,4.17,1.08,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
26,G,Ganoderma spp.,kenaf,5.91,1.02,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
27,G,Ganoderma spp.,kenaf,3.48,0.91,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
28,G,Ganoderma spp.,kenaf,4.57,0.98,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
29,G,Ganoderma spp.,kenaf,4.57,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
30,G,Ganoderma spp.,kenaf,4.63,1.03,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
31,G,Ganoderma spp.,kenaf,4.95,1.02,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
32,G,Ganoderma spp.,kenaf,5.1,1.11,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
33,G,Ganoderma spp.,kenaf,5.92,1.29,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
34,G,Ganoderma spp.,kenaf,4.89,1.04,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
35,G,Ganoderma spp.,kenaf,5.33,1.21,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
36,G,Ganoderma spp.,kenaf,4.61,1.09,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
37,G,Ganoderma spp.,kenaf,6.25,1.12,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
38,G,Ganoderma spp.,kenaf,5.76,1.02,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
39,G,Ganoderma spp.,kenaf,5.37,1.06,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
40,G,Ganoderma spp.,kenaf,5.51,1.13,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
1,ERM,Ganoderma spp.,kenaf,3.1,0.9,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
2,ERM,Ganoderma spp.,kenaf,3.2,0.9,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
3,ERM,Ganoderma spp.,kenaf,3.6,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
4,ERM,Ganoderma spp.,kenaf,3.3,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
5,ERM,Ganoderma spp.,kenaf,4.4,1.2,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
6,ERM,Ganoderma spp.,kenaf,4.1,1.1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
7,ERM,Ganoderma spp.,kenaf,3.8,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
8,ERM,Ganoderma spp.,kenaf,3.8,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
9,ERM,Ganoderma spp.,kenaf,4.8,1.3,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
10,ERM,Ganoderma spp.,kenaf,4.6,1.2,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
11,ERM,Ganoderma spp.,kenaf,4.7,1.3,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
12,ERM,Ganoderma spp.,kenaf,4.5,1.2,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
13,ERM,Ganoderma spp.,kenaf,4.3,1.2,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
14,ERM,Ganoderma spp.,kenaf,4.6,1.3,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
15,ERM,Ganoderma spp.,kenaf,4.6,1.2,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
16,ERM,Ganoderma spp.,kenaf,4.4,1.2,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
17,ERM,Ganoderma spp.,kenaf,4.9,1.3,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
18,ERM,Ganoderma spp.,kenaf,4.3,1.1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
19,ERM,Ganoderma spp.,kenaf,4.6,1.1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
20,ERM,Ganoderma spp.,kenaf,4.7,1.3,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
21,ERM,Ganoderma spp.,kenaf,4.4,1.1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
22,ERM,Ganoderma spp.,kenaf,4.5,1.3,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
23,ERM,Ganoderma spp.,kenaf,4.6,1.2,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
24,ERM,Ganoderma spp.,kenaf,4.9,1.2,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
25,ERM,Ganoderma spp.,kenaf,4.5,1.2,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
26,ERM,Ganoderma spp.,kenaf,3.6,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
27,ERM,Ganoderma spp.,kenaf,3.6,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
28,ERM,Ganoderma spp.,kenaf,3.8,1.1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
29,ERM,Ganoderma spp.,kenaf,3.9,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
30,ERM,Ganoderma spp.,kenaf,3.7,1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
31,ERM,Ganoderma spp.,kenaf,4.4,1.1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
32,ERM,Ganoderma spp.,kenaf,3.9,1.1,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
33,ERM,Ganoderma spp.,kenaf,4.9,1.3,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
34,ERM,Ganoderma spp.,kenaf,4.8,1.3,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
35,ERM,Ganoderma spp.,kenaf,3.6,0.9,Ganoderma spp.,Kenaf, | ,Ganoderma spp. | Kenaf
